"Timestamp","1- Do you like visiting and exploring new places?","2- Do you prefer performing a research about a place before visiting it?","3- How do you perform the necessary research?","How often do you find this information relevant?","Does this misleading information, (if any) ruins the trip?","How often do you face trouble in knowing places of interest around various tourist spots and other destinations?","Whom do you consider the most trusted and relevant source of information regarding visiting new places?","How often do you prefer using social networking website for sharing your experiences like uploading photos, descriptions etc.?","Do you mind sharing the location or spot at which you clicked certain photos?","What is more preferred by you while surfing the networking platforms?","Any other problems faced during planning a trip?"
"2016/09/27 5:41:29 AM GMT+5:30","SOMETIMES","Yes,always","Travel blogs","Quite a lot times","Sometimes","Very few times","Travel blogger’s experiences","Few times","Yes,very often","Web application",""
"2016/09/27 10:28:38 AM GMT+5:30","YES","Sometimes","Family, friends & acquaintances","Quite a lot times","Sometimes","Very often","Family, friends & acquaintance’s past experience","Few times","Very few times","Android application","Transportation"
"2016/09/27 10:31:20 AM GMT+5:30","YES","Sometimes","Google Search","Quite a lot times","Sometimes","Very few times","Family, friends & acquaintance’s past experience","Few times","Very few times","Web application",""
"2016/09/27 10:43:41 AM GMT+5:30","YES","Sometimes","Travel blogs","Very few times","Never","Very often","Google search‘s photos and information","Very often","Yes,very often","Android application",""
"2016/09/27 11:42:34 AM GMT+5:30","YES","Sometimes","Google Search","Quite a lot times","Sometimes","Very often","Family, friends & acquaintance’s past experience","Few times","Very few times","Web application",""
"2016/09/27 11:59:37 AM GMT+5:30","YES","Sometimes","I generally go with both options 1 and 2","Quite a lot times","Never","Very often","Auto Rickshaw walas of that particular place","Few times","Very few times","Web application","Getting a shortest route with maximum places in my plan, within a fixed span of holidays."
"2016/09/27 1:55:18 PM GMT+5:30","YES","Yes,always","Google Search","Very few times","Yes, totally","Very few times","Family, friends & acquaintance’s past experience","Never","No, Never","Web application",""
"2016/09/27 5:06:10 PM GMT+5:30","YES","Yes,always","Google Search","Quite a lot times","Sometimes","Very few times","Google search‘s photos and information","Very often","Yes,very often","Android application",""
"2016/09/27 8:30:34 PM GMT+5:30","YES","Sometimes","Google Search","Quite a lot times","Never","Never","Family, friends & acquaintance’s past experience","Few times","Yes,very often","Web application",""
"2016/09/27 8:36:48 PM GMT+5:30","YES","Yes,always","Google Search","Quite a lot times","Sometimes","Very often","Google search‘s photos and information","Few times","Very few times","Web application",""
"2016/09/27 9:18:13 PM GMT+5:30","YES","Yes,always","Google Search","Quite a lot times","Sometimes","Very few times","Google search‘s photos and information","Few times","No, Never","Android application",""
"2016/09/27 9:35:10 PM GMT+5:30","YES","Yes,always","Google Search","Quite a lot times","Yes, totally","Very few times","Google search‘s photos and information","Very often","Very few times","Android application",""
"2016/09/27 10:16:30 PM GMT+5:30","YES","Yes,always","Google Search","Very few times","Sometimes","Very often","Google search‘s photos and information","Few times","Very few times","Web application",""
"2016/09/28 1:21:17 AM GMT+5:30","YES","Yes,always","Google Search","Very few times","Sometimes","Very few times","Google search‘s photos and information","Very often","Very few times","Android application",""
"2016/09/28 1:42:45 AM GMT+5:30","YES","Yes,always","Google Search","Very few times","Yes, totally","Very few times","Travel blogger’s experiences","Very often","Yes,very often","Android application",""
"2016/09/28 9:53:43 AM GMT+5:30","YES","Sometimes","Travel blogs","Quite a lot times","Yes, totally","Very often","Family, friends & acquaintance’s past experience","Very often","Yes,very often","Android application",""
"2016/09/30 11:56:53 PM GMT+5:30","YES","Sometimes","Google Search","Very few times","Sometimes","Very often","Family, friends & acquaintance’s past experience","Very often","Very few times","Android application","knowing the specialities about a place"
"2016/10/01 3:41:00 AM GMT+5:30","YES","Sometimes","Travel blogs","Quite a lot times","Sometimes","Very often","Family, friends & acquaintance’s past experience","Very often","Yes,very often","Android application",""
"2016/10/02 10:25:18 AM GMT+5:30","YES","Yes,always","Family, friends & acquaintances","Always","Yes, totally","Always","Family, friends & acquaintance’s past experience","Very often","Yes,very often","Android application","no"
